id,Confirmed
137,6900769.0
138,7014817.0
139,7123258.0
140,7247040.0
141,7365838.0
142,7519855.0
143,7638474.0
144,7772745.0
145,7906350.0
146,8039796.0
147,8179595.0
148,8356984.0
149,8496684.0
150,8676282.0
151,8799939.0
152,8963081.0
153,9107546.0
154,9273974.0
155,9442846.0
156,9622148.0
157,9814054.0
158,9991652.0
159,10160555.0
160,10315359.0
161,10489497.0
162,10706673.0
163,10885658.0
164,11089497.0
165,11281843.0
166,11465160.0
167,11634302.0
168,11844371.0
169,12058124.0
170,12283735.0
171,12515215.0
172,12733536.0
173,12925696.0
174,13118901.0
175,13339451.0
176,13571400.0
177,13819779.0
178,14070589.0
179,14307561.0
180,14521495.0
181,14722363.0
182,14962395.0
183,15242079.0
184,15525021.0
185,15806988.0
186,16060211.0
187,16266193.0
188,16501293.0
189,16705724.0
190,17045576.0
191,17326137.0
192,17616879.0
193,17865956.0
194,18097315.0
195,18304992.0
196,18563150.0
197,18839011.0
198,19124384.0
199,19406879.0
200,19666003.0
201,19891694.0
202,20118212.0
203,20375150.0
204,20661378.0
205,20939745.0
206,21242139.0
207,21492927.0
208,21708091.0
209,21915768.0
210,22173970.0
211,22452739.0
212,22725049.0
213,22986798.0
214,23240456.0
215,23457874.0
216,23684077.0
217,23927624.0
218,24209771.0
219,24490324.0
220,24774645.0
221,25039752.0
222,25260750.0
223,25525844.0
224,25791408.0
225,26073942.0
226,26347904.0
227,26653853.0
228,26924339.0
229,27163600.0
230,27376674.0
231,27615947.0
232,27909101.0
233,28208269.0
234,28529234.0
235,28816444.0
236,29058929.0
237,29239114.0
238,29608236.0
239,29912015.0
240,30227152.0
241,30553123.0
242,30845945.0
243,31098993.0
244,31375022.0
245,31659721.0
246,31934239.0
247,32287655.0
248,32623213.0
249,32912240.0
250,33167113.0
251,33419733.0
252,33702859.0
253,34028416.0
254,34341074.0
255,34646578.0
256,34964892.0
257,35240611.0
258,35537305.0
259,35868376.0
260,36218160.0
261,36579557.0
262,36940601.0
263,37297827.0
264,37584889.0
265,37876866.0
266,38196286.0
267,38578375.0
268,38985480.0
269,39397250.0
270,39769947.0
271,40086708.0
272,40473949.0
273,40863185.0
274,41307362.0
275,41780108.0
276,42286249.0
277,42741408.0
278,43140762.0
279,43582027.0
280,44052995.0
281,44571209.0
282,45109750.0
283,45675758.0
284,46162055.0
285,46632406.0
286,47136818.0
287,47654616.0
288,48252941.0
289,48849909.0
290,49494791.0
291,50091862.0
292,50575685.0
293,51043272.0
294,51607037.0
295,52255204.0
296,52905000.0
297,53556847.0
298,54151573.0
299,54625261.0
300,55158682.0
301,55770003.0
302,56396925.0
303,57050102.0
304,57718479.0
305,58305723.0
306,58793713.0
307,59318419.0
308,59908426.0
309,60543865.0
310,61125989.0
311,61813227.0
312,62398810.0
313,62887073.0
314,63395077.0
315,64006923.0
316,64657540.0
317,65351035.0
318,66034127.0
319,66675620.0
320,67214412.0
321,67733834.0
322,68376697.0
323,69045713.0
324,70542873.0
325,71245705.0
326,71879858.0
327,72410059.0
328,72933933.0
329,73570426.0
330,74303100.0
331,75041733.0
332,75761114.0
333,76372594.0
334,76905598.0
335,77454227.0
336,78103380.0
337,78797459.0
338,79464365.0
339,79929494.0
340,80441968.0
341,80879838.0
342,81375961.0
343,82038435.0
344,82798666.0
345,83521859.0
346,84054370.0
347,84679917.0
348,85212884.0
349,85766126.0
350,86504791.0
351,87286422.0
352,88166327.0
353,88966439.0
354,89729075.0
355,90318122.0
356,90936928.0
357,91641834.0
358,92389297.0
359,93144039.0
360,93909129.0
361,94547911.0
362,95076127.0
363,95591185.0
364,96198228.0
365,96890121.0
366,97546178.0
367,98204479.0
368,98772015.0
369,99217695.0
370,99714128.0
371,100269237.0
372,100866518.0
373,101480537.0
374,102070241.0
375,102585112.0
376,102967345.0
377,103413233.0
378,103870440.0
379,104392192.0
380,104858367.0
381,105392905.0
382,105764933.0
383,106162758.0
384,106478448.0
385,106905813.0
386,107340958.0
387,107781878.0
388,108210949.0
389,108583902.0
390,108877486.0
391,109160854.0
392,109511448.0
393,109906540.0
394,110309749.0
395,110749144.0
396,111119409.0
397,111433102.0
398,111721889.0
399,112109754.0
400,112554301.0
401,113001412.0
402,113415604.0
